word,seat,tiles,sounds,source,in,note
hammer,46,h-a-mm-er,h short_a m er,engine engine engine engine,seat,
hand,10,h-a-n-d,h short_a n d,engine engine engine engine,bank+seat+text,
handful,98,h-a-n-d-f-u-l,h short_a n d f short_u l,engine engine engine engine engine engine engine,seat,open-syllable candidate at 72+ - expert decides the vowel
handle,48,h-a-n-d-le,h short_a n d l,engine engine engine engine engine,seat+text,
hands,32,h-a-n-d-s,h short_a n d z,expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
hang,28,h-a-ng,h short_a ng,engine engine engine,bank+seat+text,
happier,53,h-a-pp-ie-r,h short_a p long_e r,engine engine engine seat-rule engine,seat+text,
happy,51,h-a-pp-y,h short_a p long_e,engine engine engine position,seat+text,
hard,79,h-ar-d,h ar d,engine engine engine,seat,
has,10,h-a-s,h short_a z,engine engine engine,bank+seat+text,
hat,10,h-a-t,h short_a t,engine engine engine,bank+seat+text,
hate,60,h-a-t-e,h long_a t silent,engine engine engine engine,seat,
hats,10,h-a-t-s,h short_a t s,engine engine engine engine,bank+seat+text,
haul,82,h-au-l,h aw l,engine engine engine,seat+text,
have,17,h-a-ve,h short_a v,engine engine engine,bank+seat+text,
having,41,h-a-v-i-ng,h short_a v short_i ng,engine engine engine engine engine,seat+text,
he,7,h-e,h long_e,engine engine,bank+seat+text,
head,69,h-ea-d,h short_e d,engine seat-rule engine,seat,
hear,84,h-ear,h ear,engine engine,seat,
heavy,69,h-ea-v-y,h short_e v long_e,engine seat-rule engine position,seat,
held,20,h-e-l-d,h short_e l d,engine engine engine engine,seat+text,
help,31,h-e-l-p,h short_e l p,engine engine engine engine,bank+seat+text,
helped,43,h-e-l-p-e-d,h short_e l p silent t,expert expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
helper,38,h-e-l-p-er,h short_e l p er,engine engine engine engine engine,seat+text,
helpful,98,h-e-l-p-f-u-l,h short_e l p f short_u l,engine engine engine engine engine engine engine,seat+text,
helpless,99,h-e-l-p-l-e-ss,h short_e l p l short_e s,engine engine engine engine engine engine engine,seat,
hem,80,h-e-m,h short_e m,engine engine engine,bank+seat,
hen,40,h-e-n,h short_e n,engine engine engine,bank+seat+text,
hens,56,h-e-n-s,h short_e n z,engine engine engine engine,bank+seat+text,
her,15,h-er,h er,engine engine,seat+text,
here,84,h-ere,h ear,engine seat-rule,seat+text,
hey,59,h-ey,h long_a,engine seat-rule,seat,
hid,10,h-i-d,h short_i d,engine engine engine,bank+seat+text,
hide,66,h-i-d-e,h long_i d silent,engine engine engine engine,seat+text,
high,67,h-igh,h long_i,engine engine,seat+text,
hill,21,h-i-ll,h short_i l,engine engine engine,bank+seat+text,
hilltop,39,h-i-ll-t-o-p,h short_i l t short_o p,engine engine engine engine engine engine,seat+text,
him,10,h-i-m,h short_i m,engine engine engine,bank+seat+text,
hip,80,h-i-p,h short_i p,engine engine engine,bank+seat,
his,10,h-i-s,h short_i z,engine engine engine,bank+seat+text,
hit,10,h-i-t,h short_i t,engine engine engine,bank+seat+text,
hits,20,h-i-t-s,h short_i t s,engine engine engine engine,seat,
hog,,h-o-g,h short_o g,engine engine engine,bank+text,
hold,20,h-o-l-d,h long_o l d,engine engine engine engine,bank+seat+text,
hole,64,h-o-le,h long_o l,expert expert expert,seat+text,
holes,64,h-o-l-e-s,h long_o l silent z,expert expert expert expert expert,seat+text,
holiday,71,h-o-l-i-d-ay,h short_o l short_i d long_a,engine engine engine engine engine engine,seat+text,
home,64,h-o-m-e,h long_o m silent,engine engine engine engine,seat+text,
honey,63,h-o-n-ey,h short_u n long_e,expert expert expert expert,seat+text,
hop,20,h-o-p,h short_o p,engine engine engine,bank+seat+text,
hope,64,h-o-p-e,h long_o p silent,engine engine engine engine,seat+text,
hopeless,99,h-o-p-e-l-e-ss,h long_o p silent l short_e s,expert expert expert expert expert expert expert,seat,open-syllable candidate at 72+ - expert decides the vowel
horse,81,h-or-se,h or s,engine engine engine,seat,
hot,20,h-o-t,h short_o t,engine engine engine,bank+seat+text,
house,77,h-ou-se,h ow s,engine engine engine,seat,
how,77,h-ow,h ow,engine seat-rule,seat+text,
hub,90,h-u-b,h short_u b,engine engine engine,bank+seat,
huff,90,h-u-ff,h short_u f,engine engine engine,bank+seat,
hug,30,h-u-g,h short_u g,engine engine engine,bank+seat+text,
huge,87,h-u-ge,h long_u j,engine engine engine,seat+text,
hum,40,h-u-m,h short_u m,engine engine engine,bank+seat+text,
hung,28,h-u-ng,h short_u ng,engine engine engine,bank+seat+text,
hunt,14,h-u-n-t,h short_u n t,engine engine engine engine,seat+text,
hunting,37,h-u-n-t-i-ng,h short_u n t short_i ng,engine engine engine engine engine engine,seat+text,
hush,22,h-u-sh,h short_u sh,engine engine engine,bank+seat+text,
hut,90,h-u-t,h short_u t,engine engine engine,bank+seat+text,
i,2,i,long_i_i,engine,bank+seat+text,long_i_i is the ruled special id (the word i's own clip)
if,11,i-f,short_i f,engine engine,bank+seat+text,
illness,41,i-ll-n-e-ss,short_i l n short_e s,engine engine engine engine engine,seat,
in,1,i-n,short_i n,engine engine,bank+seat+text,
inside,66,i-n-s-i-d-e,short_i n s long_i d silent,engine engine engine engine engine engine,seat+text,
into,3,i-n-t-o,short_i n t oo_moon,engine engine engine engine,bank+seat+text,
is,5,i-s,short_i z,engine engine,bank+seat+text,
it,1,i-t,short_i t,engine engine,bank+seat+text,
jab,90,j-a-b,j short_a b,engine engine engine,bank+seat,
jacket,42,j-a-ck-e-t,j short_a k short_e t,engine engine engine engine engine,seat+text,
jam,40,j-a-m,j short_a m,engine engine engine,bank+seat+text,
jaw,82,j-aw,j aw,engine engine,seat+text,
jazz,90,j-a-zz,j short_a z,engine engine engine,bank+seat,
jelly,51,j-e-ll-y,j short_e l long_e,engine engine engine position,seat+text,
jet,90,j-e-t,j short_e t,engine engine engine,bank+seat+text,
job,40,j-o-b,j short_o b,engine engine engine,bank+seat+text,
jog,,j-o-g,j short_o g,engine engine engine,bank+text,
join,78,j-oi-n,j oi n,engine engine engine,seat+text,
jot,90,j-o-t,j short_o t,engine engine engine,bank+seat,
joyful,98,j-oy-f-u-l,j oi f short_u l,engine engine engine engine engine,seat,
judge,88,j-u-dge,j short_u j,engine engine engine,seat+text,
jump,17,j-u-m-p,j short_u m p,engine engine engine engine,bank+seat+text,
jumped,43,j-u-m-p-e-d,j short_u m p silent t,expert expert expert expert expert expert,seat,"the -ed of level 43: voiceless stem, e silent, d says t"
jumper,38,j-u-m-p-er,j short_u m p er,engine engine engine engine engine,seat+text,
jumps,17,j-u-m-p-s,j short_u m p s,engine engine engine engine engine,seat+text,
just,17,j-u-s-t,j short_u s t,engine engine engine engine,bank+seat+text,
jut,90,j-u-t,j short_u t,engine engine engine,bank+seat,
kick,26,k-i-ck,k short_i k,engine engine engine,bank+seat+text,
kicked,43,k-i-ck-e-d,k short_i k silent t,expert expert expert expert expert,seat,"the -ed of level 43: voiceless stem, e silent, d says t"
kid,16,k-i-d,k short_i d,engine engine engine,bank+seat+text,
kids,16,k-i-d-s,k short_i d z,engine engine engine engine,bank+seat+text,
kind,68,k-i-n-d,k long_i n d,engine lesson-68 engine engine,seat+text,
kindly,68,k-i-n-d-l-y,k long_i n d l long_e,engine lesson-68 engine engine engine position,seat+text,
kindness,99,k-i-n-d-n-e-ss,k long_i n d n short_e s,expert expert expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
king,28,k-i-ng,k short_i ng,engine engine engine,bank+seat+text,
kiss,21,k-i-ss,k short_i s,engine engine engine,bank+seat+text,
kit,16,k-i-t,k short_i t,engine engine engine,bank+seat,
kitten,49,k-i-tt-e-n,k short_i t short_e n,engine engine engine engine engine,seat+text,
knit,89,kn-i-t,n short_i t,engine engine engine,bank+seat+text,
knob,89,kn-o-b,n short_o b,engine engine engine,bank+seat,
knock,89,kn-o-ck,n short_o k,engine engine engine,bank+seat+text,
knot,89,kn-o-t,n short_o t,engine engine engine,bank+seat+text,
lab,90,l-a-b,l short_a b,engine engine engine,bank+seat,
lad,90,l-a-d,l short_a d,engine engine engine,bank+seat,
ladder,46,l-a-dd-er,l short_a d er,engine engine engine engine,seat+text,
lady,72,l-a-d-y,l long_a d long_e,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
lake,57,l-a-k-e,l long_a k silent,engine engine engine engine,seat+text,
lamb,89,l-a-mb,l short_a m,engine engine engine,bank+seat+text,
lamp,31,l-a-m-p,l short_a m p,engine engine engine engine,bank+seat+text,
lamps,32,l-a-m-p-s,l short_a m p s,engine engine engine engine engine,seat,
land,13,l-a-n-d,l short_a n d,engine engine engine engine,bank+seat+text,
landed,45,l-a-n-d-e-d,l short_a n d short_e d,engine engine engine engine engine engine,seat+text,
lap,40,l-a-p,l short_a p,engine engine engine,bank+seat+text,
laptop,20,l-a-p-t-o-p,l short_a p t short_o p,engine engine engine engine engine engine,seat,
lash,100,l-a-sh,l short_a sh,engine engine engine,bank+seat,
late,60,l-a-t-e,l long_a t silent,engine engine engine engine,seat+text,
later,72,l-a-t-er,l long_a t er,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
laugh,82,l-augh,l aw,engine engine,seat+text,OWNER DECISION pending: needs an /af/ cluster id (the uf/off precedent) or a retile
lawn,82,l-aw-n,l aw n,engine engine engine,seat+text,
lay,58,l-ay,l long_a,engine engine,seat+text,
lazy,72,l-a-z-y,l long_a z long_e,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
leaf,62,l-ea-f,l long_e f,engine seat-rule engine,seat+text,
leave,62,l-ea-ve,l long_e v,engine seat-rule engine,seat+text,
led,13,l-e-d,l short_e d,engine engine engine,bank+seat+text,
left,13,l-e-f-t,l short_e f t,engine engine engine engine,bank+seat+text,
leg,13,l-e-g,l short_e g,engine engine engine,bank+seat+text,
let,13,l-e-t,l short_e t,engine engine engine,bank+seat+text,
let's,,l-e-t-'-s,l short_e t silent s,expert expert expert expert expert,text,no seat to rule by - expert decides; contraction kept whole by sentenceWords - passage or credit line
lick,26,l-i-ck,l short_i k,engine engine engine,bank+seat,
licked,43,l-i-ck-e-d,l short_i k silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
lid,13,l-i-d,l short_i d,engine engine engine,bank+seat+text,
lids,56,l-i-d-s,l short_i d z,engine engine engine engine,bank+seat+text,
lift,31,l-i-f-t,l short_i f t,engine engine engine engine,bank+seat+text,
lifted,45,l-i-f-t-e-d,l short_i f t short_e d,engine engine engine engine engine engine,seat+text,
light,67,l-igh-t,l long_i t,engine engine engine,seat+text,
like,66,l-i-k-e,l long_i k silent,engine engine engine engine,seat+text,
liked,73,l-i-k-e-d,l long_i k silent t,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
likes,66,l-i-k-e-s,l long_i k silent s,expert expert expert expert expert,seat+text,
limb,89,l-i-mb,l short_i m,engine engine engine,bank+seat,
line,66,l-i-n-e,l long_i n silent,engine engine engine engine,seat+text,
lion,,l-i-o-n,l long_i schwa n,expert expert expert expert,text,
lip,100,l-i-p,l short_i p,engine engine engine,bank+seat,
lit,100,l-i-t,l short_i t,engine engine engine,bank+seat+text,
little,48,l-i-tt-le,l short_i t l,engine engine engine engine,seat+text,
live,66,l-i-ve,l long_i v,engine engine engine,seat,
lived,16,l-i-v-e-d,l short_i v silent d,expert expert expert expert expert,seat+text,"the -ed of level 44: voiced stem, e silent, d stays d"
lock,26,l-o-ck,l short_o k,engine engine engine,bank+seat+text,
log,20,l-o-g,l short_o g,engine engine engine,bank+seat+text,
logs,20,l-o-g-s,l short_o g z,expert expert expert expert,seat,final s buzzes to z after a voiced sound
long,28,l-o-ng,l short_o ng,engine engine engine,bank+seat+text,
look,75,l-oo-k,l oo_book k,engine seat-rule engine,seat+text,
looked,75,l-oo-k-e-d,l oo_book k silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
loss,100,l-o-ss,l short_o s,engine engine engine,bank+seat,
lot,13,l-o-t,l short_o t,engine engine engine,bank+seat+text,
lots,13,l-o-t-s,l short_o t s,engine engine engine engine,seat,
loud,77,l-ou-d,l ow d,engine engine engine,seat+text,
love,64,l-o-ve,l short_u v,engine engine engine,bank+seat,
loyal,78,l-oy-a-l,l oi short_a l,engine engine engine engine,seat+text,
luck,26,l-u-ck,l short_u k,engine engine engine,bank+seat+text,
lucky,51,l-u-ck-y,l short_u k long_e,engine engine engine position,seat+text,
lunch,23,l-u-n-ch,l short_u n ch,engine engine engine engine,seat,
lung,28,l-u-ng,l short_u ng,engine engine engine,bank+seat,
lush,100,l-u-sh,l short_u sh,engine engine engine,bank+seat+text,
machine,94,m-a-ch-i-n-e,m short_a sh long_e n silent,expert expert expert expert expert expert,seat,open-syllable candidate at 72+ - expert decides the vowel
mad,8,m-a-d,m short_a d,engine engine engine,bank+seat+text,
made,57,m-a-d-e,m long_a d silent,engine engine engine engine,seat+text,
magic,87,m-a-g-i-c,m short_a j short_i k,engine engine position engine engine,seat,open-syllable candidate at 72+ - expert decides the vowel
make,60,m-a-k-e,m long_a k silent,engine engine engine engine,seat+text,
makes,60,m-a-k-e-s,m long_a k silent s,expert expert expert expert expert,seat+text,
man,5,m-a-n,m short_a n,engine engine engine,bank+seat+text,
map,5,m-a-p,m short_a p,engine engine engine,bank+seat+text,
maple,72,m-a-p-le,m long_a p l,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
maps,6,m-a-p-s,m short_a p s,engine engine engine engine,bank+seat+text,
mash,22,m-a-sh,m short_a sh,engine engine engine,bank+seat+text,
mat,5,m-a-t,m short_a t,engine engine engine,bank+seat+text,
match,88,m-a-tch,m short_a ch,engine engine engine,seat+text,
matches,88,m-a-tch-e-s,m short_a ch short_e z,expert expert expert expert expert,seat,open-syllable candidate at 72+ - expert decides the vowel; final s buzzes to z after a voiced sound
mcguffey's,,m-c-g-u-ff-ey-'-s,m k g short_u f long_e silent z,expert expert expert expert expert expert expert expert,text,no seat to rule by - expert decides; contraction kept whole by sentenceWords - passage or credit line
me,9,m-e,m long_e,engine engine,bank+seat+text,
mean,62,m-ea-n,m long_e n,engine seat-rule engine,seat,
meat,62,m-ea-t,m long_e t,engine seat-rule engine,seat+text,
mechanic,94,m-e-ch-a-n-i-c,m short_e k short_a n short_i k,expert expert expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
meet,61,m-ee-t,m long_e t,engine engine engine,seat+text,
meets,61,m-ee-t-s,m long_e t s,engine engine engine engine,seat+text,
men,7,m-e-n,m short_e n,engine engine engine,bank+seat+text,
mess,50,m-e-ss,m short_e s,engine engine engine,bank+seat+text,
met,100,m-e-t,m short_e t,engine engine engine,bank+seat+text,
middle,48,m-i-dd-le,m short_i d l,engine engine engine engine,seat+text,
might,67,m-igh-t,m long_i t,engine engine engine,seat+text,
mild,68,m-i-l-d,m long_i l d,engine lesson-68 engine engine,seat+text,
mile,66,m-i-le,m long_i l,expert expert expert,seat,
milk,16,m-i-l-k,m short_i l k,engine engine engine engine,bank+seat+text,
mill,100,m-i-ll,m short_i l,engine engine engine,bank+seat,
mind,68,m-i-n-d,m long_i n d,engine lesson-68 engine engine,seat+text,
mint,5,m-i-n-t,m short_i n t,engine engine engine engine,bank+seat+text,
miss,50,m-i-ss,m short_i s,engine engine engine,bank+seat+text,
mist,5,m-i-s-t,m short_i s t,engine engine engine engine,seat,
mitt,50,m-i-tt,m short_i t,engine engine engine,seat+text,
mitten,49,m-i-tt-e-n,m short_i t short_e n,engine engine engine engine engine,seat+text,
mix,18,m-i-x,m short_i x,engine engine engine,bank+seat,
mixed,43,m-i-x-e-d,m short_i x silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
mixture,96,m-i-x-tu-re,m short_i x ch er,engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
mob,100,m-o-b,m short_o b,engine engine engine,bank+seat,
mom,5,m-o-m,m short_o m,engine engine engine,bank+seat+text,
money,63,m-o-n-ey,m short_u n long_e,expert expert expert expert,seat+text,
monkey,63,m-o-n-k-ey,m short_u n k long_e,expert expert expert expert expert,seat+text,
month,24,m-o-n-th,m short_u n th_quiet,engine engine engine engine,bank+seat,
moon,74,m-oo-n,m oo_moon n,engine seat-rule engine,seat+text,
mop,5,m-o-p,m short_o p,engine engine engine,bank+seat+text,
more,81,m-ore,m or,engine engine,seat+text,
moth,24,m-o-th,m short_o th_quiet,engine engine engine,bank+seat+text,
mother,38,m-o-th-er,m short_u th_this er,expert expert expert expert,seat+text,
motion,95,m-o-ti-o-n,m long_o sh schwa n,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
mouse,77,m-ou-se,m ow s,engine engine engine,seat+text,
mouthful,98,m-ou-th-f-u-l,m ow th_quiet f short_u l,engine engine engine engine engine engine,seat,
much,23,m-u-ch,m short_u ch,engine engine engine,bank+seat+text,
muck,100,m-u-ck,m short_u k,engine engine engine,bank+seat+text,
mud,14,m-u-d,m short_u d,engine engine engine,bank+seat+text,
muffin,41,m-u-ff-i-n,m short_u f short_i n,engine engine engine engine engine,seat+text,
mule,76,m-u-le,m long_u l,expert expert expert,seat+text,
munch,23,m-u-n-ch,m short_u n ch,engine engine engine engine,seat,
mush,100,m-u-sh,m short_u sh,engine engine engine,bank+seat,
must,14,m-u-s-t,m short_u s t,engine engine engine engine,bank+seat+text,
my,19,m-y,m long_i,engine engine,bank+seat+text,
nap,1,n-a-p,n short_a p,engine engine engine,bank+seat+text,
nation,95,n-a-ti-o-n,n long_a sh schwa n,expert expert expert expert expert,seat,open-syllable candidate at 72+ - expert decides the vowel
nature,96,n-a-tu-re,n long_a ch er,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
near,84,n-ear,n ear,engine engine,seat,
need,61,n-ee-d,n long_e d,engine engine engine,seat+text,
needed,71,n-ee-d-e-d,n long_e d short_e d,engine engine engine engine engine,seat+text,
nest,7,n-e-s-t,n short_e s t,engine engine engine engine,bank+seat+text,
nestle,93,n-e-s-tle,n short_e s l,engine engine engine engine,seat,
nests,32,n-e-s-t-s,n short_e s t s,engine engine engine engine engine,seat,
net,7,n-e-t,n short_e t,engine engine engine,bank+seat+text,
never,41,n-e-v-er,n short_e v er,engine engine engine engine,seat+text,
new,76,n-ew,n oo_moon,engine engine,seat+text,
next,32,n-e-x-t,n short_e x t,engine engine engine engine,seat,
niece,63,n-ie-ce,n long_e s,engine seat-rule engine,seat,
night,67,n-igh-t,n long_i t,engine engine engine,seat+text,
nine,66,n-i-n-e,n long_i n silent,engine engine engine engine,seat,
nip,,n-i-p,n short_i p,engine engine engine,text,
no,22,n-o,n long_o,engine engine,bank+seat+text,
nod,8,n-o-d,n short_o d,engine engine engine,bank+seat+text,
noise,78,n-oi-se,n oi z,expert expert expert,seat,
nose,64,n-o-se,n long_o z,expert expert expert,seat,
noses,73,n-o-s-e-s,n long_o z short_e z,expert expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
not,3,n-o-t,n short_o t,engine engine engine,bank+seat+text,
note,64,n-o-t-e,n long_o t silent,engine engine engine engine,seat+text,
notes,64,n-o-t-e-s,n long_o t silent s,expert expert expert expert expert,seat+text,
now,77,n-ow,n ow,engine seat-rule,seat+text,
nurse,83,n-ur-se,n er s,engine engine engine,seat,
nut,14,n-u-t,n short_u t,engine engine engine,bank+seat+text,
o,,o,long_o,expert,text,
obey,59,o-b-ey,long_o b long_a,expert expert expert,seat,
of,13,o-f,short_u v_soft,engine engine,bank+seat+text,v_soft is the ruled special id (of's quieter v)
old,20,o-l-d,long_o l d,engine engine engine,bank+seat+text,
on,3,o-n,short_o n,engine engine,bank+seat+text,
one,,o-n-e,long_o n silent,engine engine engine,text,"appears ONLY in the three spoken invitation lines, never tiled - the o-n-e fault is moot unless it is ever seated; measured 2026-08-20"
or,81,or,or,engine,seat+text,
orchestra,94,or-ch-e-s-t-r-a,or k short_e s t r short_a,expert expert expert expert expert expert expert,seat+text,
other,25,o-th-er,short_u th_this er,expert expert expert,seat+text,
ought,92,ough-t,aw t,seat-rule engine,seat,
our,77,ou-r,ow r,engine engine,seat+text,
out,77,ou-t,ow t,engine engine,bank+seat+text,
outside,77,ou-t-s-i-d-e,ow t s long_i d silent,engine engine engine engine engine engine,seat,
over,72,o-v-er,long_o v er,expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
ox,18,o-x,short_o x,engine engine,bank+seat+text,
pack,50,p-a-ck,p short_a k,engine engine engine,bank+seat+text,
packed,43,p-a-ck-e-d,p short_a k silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
pail,58,p-ai-l,p long_a l,engine engine engine,seat+text,
pain,58,p-ai-n,p long_a n,engine engine engine,seat,
painful,98,p-ai-n-f-u-l,p long_a n f short_u l,engine engine engine engine engine engine,seat,
paint,58,p-ai-n-t,p long_a n t,engine engine engine engine,seat+text,
painted,71,p-ai-n-t-e-d,p long_a n t short_e d,engine engine engine engine engine engine,seat+text,
painter,71,p-ai-n-t-er,p long_a n t er,engine engine engine engine engine,seat+text,
pal,50,p-a-l,p short_a l,engine engine engine,bank+seat+text,
pan,1,p-a-n,p short_a n,engine engine engine,bank+seat+text,
paper,72,p-a-p-er,p long_a p er,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
park,79,p-ar-k,p ar k,engine engine engine,seat,
part,79,p-ar-t,p ar t,engine engine engine,seat,
pat,2,p-a-t,p short_a t,engine engine engine,bank+seat+text,
path,24,p-a-th,p short_a th_quiet,engine engine engine,bank+seat,
paw,82,p-aw,p aw,engine engine,seat,
peaceful,98,p-ea-c-e-f-u-l,p long_e s silent f short_u l,expert expert expert expert expert expert expert,seat,
pen,7,p-e-n,p short_e n,engine engine engine,bank+seat+text,
pencil,87,p-e-n-c-i-l,p short_e n s short_i l,engine engine engine position engine engine,seat,
pennies,63,p-e-nn-ie-s,p short_e n long_e z,expert expert expert expert expert,seat,final s buzzes to z after a voiced sound
penny,51,p-e-nn-y,p short_e n long_e,engine engine engine position,seat+text,
pens,56,p-e-n-s,p short_e n z,engine engine engine engine,bank+seat+text,
pepper,46,p-e-pp-er,p short_e p er,engine engine engine engine,seat,
pet,7,p-e-t,p short_e t,engine engine engine,bank+seat+text,
phone,91,ph-o-n-e,f long_o n silent,engine engine engine engine,seat+text,
photo,91,ph-o-t-o,f long_o t long_o,expert expert expert expert,seat+text,open-syllable candidate at 72+ - expert decides the vowel
pick,26,p-i-ck,p short_i k,engine engine engine,bank+seat+text,
picked,43,p-i-ck-e-d,p short_i k silent t,expert expert expert expert expert,seat+text,"the -ed of level 43: voiceless stem, e silent, d says t"
picture,96,p-i-c-tu-re,p short_i k ch er,engine engine engine engine engine,seat+text,open-syllable candidate at 72+ - expert decides the vowel
pie,67,p-ie,p long_i,engine seat-rule,seat+text,
piece,63,p-ie-ce,p long_e s,engine seat-rule engine,seat,
pig,9,p-i-g,p short_i g,engine engine engine,bank+seat+text,
pigpen,9,p-i-g-p-e-n,p short_i g p short_e n,engine engine engine engine engine engine,seat+text,
pigs,,p-i-g-s,p short_i g z,engine engine engine engine,bank+text,
pillow,65,p-i-ll-ow,p short_i l long_o,engine engine engine seat-rule,seat,
pin,2,p-i-n,p short_i n,engine engine engine,bank+seat+text,
pit,2,p-i-t,p short_i t,engine engine engine,bank+seat+text,
pitch,88,p-i-tch,p short_i ch,engine engine engine,seat,
plan,34,p-l-a-n,p l short_a n,engine engine engine engine,bank+seat+text,
plant,35,p-l-a-n-t,p l short_a n t,engine engine engine engine engine,seat,
planted,71,p-l-a-n-t-e-d,p l short_a n t short_e d,engine engine engine engine engine engine engine,seat+text,
play,58,p-l-ay,p l long_a,engine engine engine,seat+text,
player,58,p-l-ay-er,p l long_a er,engine engine engine engine,seat,
playful,98,p-l-ay-f-u-l,p l long_a f short_u l,engine engine engine engine engine engine,seat+text,
plum,34,p-l-u-m,p l short_u m,engine engine engine engine,bank+seat+text,
pocket,42,p-o-ck-e-t,p short_o k short_e t,engine engine engine engine engine,seat,
point,78,p-oi-n-t,p oi n t,engine engine engine engine,seat,
pond,31,p-o-n-d,p short_o n d,engine engine engine engine,bank+seat+text,
ponies,63,p-o-n-ie-s,p long_o n long_e z,expert expert expert expert expert,seat,
pool,74,p-oo-l,p oo_moon l,engine seat-rule engine,seat+text,
pop,3,p-o-p,p short_o p,engine engine engine,bank+seat+text,
pot,3,p-o-t,p short_o t,engine engine engine,bank+seat+text,
pots,6,p-o-t-s,p short_o t s,engine engine engine engine,bank+seat+text,
powerful,98,p-ow-er-f-u-l,p ow er f short_u l,engine seat-rule engine engine engine engine,seat,
precious,97,p-r-e-ci-ou-s,p r short_e sh schwa s,expert expert expert expert expert expert,seat+text,
preview,63,p-r-e-v-ie-w,p r long_e v long_u silent,expert expert expert expert expert expert,seat,"likely-tier accepted: ie as long_u, w silent"
princess,87,p-r-i-n-c-e-ss,p r short_i n s short_e s,engine engine engine engine position engine engine,seat,open-syllable candidate at 72+ - expert decides the vowel
print,35,p-r-i-n-t,p r short_i n t,engine engine engine engine engine,seat,
printed,71,p-r-i-n-t-e-d,p r short_i n t short_e d,engine engine engine engine engine engine engine,seat+text,
printer,71,p-r-i-n-t-er,p r short_i n t er,engine engine engine engine engine engine,seat,
pronounced,,p-r-o-n-ou-n-c-e-d,p r short_o n ow n s silent t,expert expert expert expert expert expert expert expert expert,text,"the -ed of level 43: voiceless stem, e silent, d says t"
proud,77,p-r-ou-d,p r ow d,engine engine engine engine,seat,
pup,50,p-u-p,p short_u p,engine engine engine,bank+seat+text,
puppet,49,p-u-pp-e-t,p short_u p short_e t,engine engine engine engine engine,seat+text,
puppy,51,p-u-pp-y,p short_u p long_e,engine engine engine position,seat+text,
purple,83,p-ur-p-le,p er p l,engine engine engine engine,seat+text,
put,,p-u-t,p oo_book t,expert expert expert,text,
quack,29,qu-a-ck,qu short_a k,engine engine engine,bank+seat+text,
quick,29,qu-i-ck,qu short_i k,engine engine engine,bank+seat+text,
quickly,53,qu-i-ck-l-y,qu short_i k l long_e,engine engine engine engine position,seat+text,
quill,29,qu-i-ll,qu short_i l,engine engine engine,bank+seat+text,
quip,29,qu-i-p,qu short_i p,engine engine engine,bank+seat,
quit,29,qu-i-t,qu short_i t,engine engine engine,bank+seat+text,
quitting,46,qu-i-tt-i-ng,qu short_i t short_i ng,engine engine engine engine engine,seat,
quiz,29,qu-i-z,qu short_i z,engine engine engine,bank+seat+text,
rabbit,49,r-a-bb-i-t,r short_a b short_i t,engine engine engine engine engine,seat+text,
rack,26,r-a-ck,r short_a k,engine engine engine,seat+text,
rag,15,r-a-g,r short_a g,engine engine engine,bank+seat+text,
rain,58,r-ai-n,r long_a n,engine engine engine,seat+text,
rainbow,65,r-ai-n-b-ow,r long_a n b long_o,engine engine engine engine seat-rule,seat,
ram,15,r-a-m,r short_a m,engine engine engine,bank+seat+text,
ran,15,r-a-n,r short_a n,engine engine engine,bank+seat+text,
rap,50,r-a-p,r short_a p,engine engine engine,bank+seat+text,
rat,15,r-a-t,r short_a t,engine engine engine,bank+seat+text,
read#past,69,r-ea-d,r short_e d,engine seat-rule engine,seat+text,heteronym: the /red/ of level 69's own teaching; texts choose by say-field
